,price
215,51.69
216,51.33
217,45.21
218,42.73
219,42.01
220,43.27
221,48.99
222,60.0
223,68.86
224,70.91
225,76.3
226,75.42
227,72.19
228,69.65
229,69.61
230,66.08
231,68.51
232,78.48
233,91.91
234,88.14
235,85.41
236,85.55
237,63.0
238,54.33
239,52.84
240,50.95
241,44.6
242,42.76
243,42.68
244,42.47
245,47.66
246,62.5
247,69.58
248,63.0
249,75.29
250,74.16
251,70.08
252,68.88
253,65.32
254,63.32
255,65.52
256,76.22
257,88.31
258,81.73
259,76.76
260,73.17
261,69.19
262,56.59
263,51.96
264,53.56
265,48.75
266,43.36
267,42.72
268,44.65
269,48.94
270,70.48
271,73.82
272,85.8
273,90.35
274,95.27
275,92.16
276,99.99
277,88.82
278,88.48
279,87.19
280,100.7
281,110.65
282,104.22
283,98.24
284,90.96
285,76.58
286,57.05
287,61.75
288,58.17
289,51.96
290,49.45
291,47.67
292,47.9
293,56.72
294,77.38
295,96.15
296,89.87
297,97.05
298,107.54
299,108.01
300,104.81
301,97.71
302,88.75
303,95.0
304,115.38
305,129.26
306,123.83
307,117.52
308,113.0
309,94.32
310,75.89
311,70.71
312,76.04
313,64.73
314,58.74
315,56.56
316,56.48
317,67.0
318,96.56
319,108.85
320,110.96
321,126.91
322,135.15
323,133.06
324,132.49
325,125.0
326,110.11
327,108.28
328,133.24
329,144.59
330,137.37
331,130.0
332,121.54
333,112.54
334,98.56
335,80.21
336,62.63
337,57.2
338,57.72
339,54.27
340,54.32
341,54.44
342,59.78
343,62.0
344,67.46
345,77.81
346,87.84
347,93.72
348,84.61
349,64.58
350,62.0
351,62.0
352,87.0
353,114.0
354,118.0
355,116.0
356,93.35
357,87.44
358,62.0
359,62.0
360,56.53
361,47.56
362,47.77
363,43.97
364,44.34
365,42.71
366,45.68
367,44.53
368,47.23
369,54.39
370,55.06
371,54.58
372,54.44
373,50.51
374,50.0
375,50.76
376,59.54
377,90.46
378,84.54
379,73.69
380,71.0
381,62.0
382,51.67
383,54.93
384,58.6
385,49.88
386,53.47
387,51.88
388,52.0
389,53.86
390,71.55
391,73.72
392,67.76
393,75.64
394,81.31
395,83.54
396,74.68
397,68.85
398,62.3
399,60.67
400,76.65
401,93.65
402,92.87
403,80.63
404,75.51
405,62.0
406,54.64
407,58.16
408,56.69
409,49.14
410,46.93
411,46.23
412,41.43
413,57.02
414,65.17
415,80.47
416,78.74
417,85.68
418,89.72
419,86.64
420,80.26
421,79.99
422,77.97
423,78.16
424,83.13
425,94.4
426,90.47
427,84.93
428,73.99
429,62.0
430,50.85
431,49.17
432,47.35
433,43.82
434,41.09
435,40.82
436,40.85
437,43.25
438,63.99
439,66.05
440,65.31
441,68.07
442,73.58
443,71.57
444,67.7
445,65.28
446,62.91
447,65.93
448,70.81
449,91.92
450,87.0
451,80.41
452,68.59
453,56.73
454,51.31
455,51.62
456,57.51
457,50.25
458,46.94
459,46.94
460,47.8
461,52.22
462,71.76
463,85.0
464,80.17
465,81.89
466,80.57
467,76.93
468,74.71
469,71.29
470,69.54
471,72.1
472,78.42
473,112.17
474,105.9
475,90.45
476,89.93
477,73.53
478,62.58
479,60.0
480,64.26
481,56.94
482,49.2
483,49.34
484,53.1
485,58.38
486,83.27
487,104.94
488,101.39
489,106.09
490,105.64
491,104.15
492,95.68
493,82.81
494,78.53
495,79.72
496,97.93
497,128.69
498,124.88
499,106.93
500,99.0
501,84.0
502,77.94
503,72.32
504,98.82
505,83.1
506,73.77
507,72.64
508,73.98
509,84.35
510,94.7
511,108.24
512,124.86
513,138.52
514,153.28
515,139.76
516,133.64
517,121.15
518,116.0
519,118.0
520,132.5
521,179.53
522,187.0
523,154.85
524,145.43
525,134.0
526,121.52
527,126.47
528,127.26
529,116.21
530,109.31
531,106.88
532,110.73
533,118.11
534,110.43
535,109.02
536,129.12
537,143.19
538,147.14
539,153.89
540,150.32
541,147.11
542,140.68
543,145.45
544,164.21
545,205.34
546,199.49
547,176.85
548,189.14
549,171.48
550,151.57
551,150.62
552,137.88
553,134.21
554,130.24
555,129.24
556,130.17
557,140.25
558,170.87
559,186.34
560,188.25
561,196.5
562,190.13
563,186.52
564,183.0
565,183.0
566,169.99
567,181.87
568,191.99
569,257.0
570,245.82
571,216.61
572,195.32
573,172.78
574,156.08
575,153.0
576,112.99
577,100.4
578,96.02
579,98.53
580,99.11
581,110.0
582,146.33
583,168.64
584,167.25
585,169.42
586,159.99
587,146.0
588,139.72
589,125.71
590,124.64
591,134.85
592,148.25
593,181.03
594,180.52
595,168.02
596,151.34
597,139.0
598,98.63
599,100.63
600,49.39
601,45.93
602,44.38
603,49.19
604,50.64
605,48.47
606,74.75
607,88.63
608,79.96
609,79.03
610,79.62
611,77.61
612,75.29
613,72.36
614,68.58
615,71.54
616,77.25
617,107.83
618,95.2
619,84.04
620,76.68
621,72.55
622,66.01
623,59.44
624,51.09
625,45.35
626,44.52
627,44.84
628,44.9
629,50.76
630,58.2
631,74.28
632,70.34
633,74.62
634,77.4
635,77.64
636,72.96
637,70.52
638,69.61
639,69.98
640,78.31
641,94.73
642,88.93
643,85.34
644,82.9
645,81.59
646,59.45
647,55.17
648,59.72
649,52.11
650,52.0
651,50.92
652,47.33
653,51.63
654,87.1
655,100.52
656,103.6
657,114.54
658,109.75
659,115.84
660,110.43
661,107.53
662,106.41
663,106.63
664,108.87
665,125.8
666,113.23
667,106.72
668,99.26
669,89.55
670,72.36
671,64.67
672,66.05
673,56.35
674,56.32
675,59.5
676,61.01
677,59.35
678,67.58
679,71.56
680,77.93
681,90.77
682,103.35
683,95.86
684,87.8
685,82.47
686,79.07
687,75.5
688,93.46
689,140.22
690,131.77
691,115.32
692,109.61
693,96.33
694,75.23
695,71.71
696,71.7
697,62.86
698,63.71
699,64.42
700,65.34
701,66.96
702,61.6
703,62.44
704,66.48
705,78.89
706,81.31
707,77.83
708,74.6
709,69.05
710,65.98
711,67.99
712,86.42
713,110.14
714,109.73
715,104.5
716,95.98
717,89.11
718,79.22
719,72.04
720,65.98
721,58.62
722,54.32
723,59.73
724,62.2
725,67.66
726,85.29
727,109.82
728,111.39
729,112.35
730,103.63
731,101.18
732,101.35
733,92.54
734,90.67
735,89.27
736,93.64
737,125.82
738,135.03
739,110.99
740,107.6
741,93.58
742,86.43
743,77.03
744,63.02
745,49.2
746,50.22
747,57.38
748,55.87
749,59.4
750,84.1
751,98.16
752,98.75
753,101.26
754,100.2
755,96.86
756,93.98
757,89.13
758,87.77
759,87.27
760,93.12
761,115.84
762,121.99
763,103.23
764,99.82
765,90.36
766,72.09
767,65.61
768,49.46
769,45.35
770,41.13
771,41.22
772,42.1
773,48.25
774,61.04
775,65.73
776,72.76
777,76.18
778,80.81
779,81.89
780,79.3
781,70.7
782,70.31
783,70.62
784,79.39
785,92.58
786,87.44
787,81.8
788,74.29
789,63.93
790,56.69
791,54.48
792,51.16
793,46.13
794,42.93
795,42.39
796,43.63
797,47.75
798,62.56
799,75.03
800,75.24
801,78.88
802,77.75
803,76.08
804,71.28
805,66.52
806,66.38
807,66.89
808,80.1
809,87.44
810,92.05
811,81.8
812,77.76
813,72.88
814,66.0
815,60.04
816,57.57
817,53.67
818,52.85
819,53.15
820,53.23
821,56.62
822,74.94
823,84.02
824,82.66
825,85.78
826,82.05
827,87.31
828,75.26
829,69.35
830,68.59
831,68.74
832,79.42
833,89.9
834,91.43
835,84.75
836,79.72
837,72.92
838,68.88
839,60.3
840,50.22
841,45.51
842,43.71
843,44.1
844,43.41
845,45.96
846,51.33
847,50.15
848,55.1
849,61.14
850,62.66
851,66.0
852,55.91
853,54.16
854,50.69
855,50.67
856,54.98
857,78.24
858,79.51
859,68.68
860,66.0
861,54.28
862,53.43
863,50.88
864,49.5
865,43.04
866,38.87
867,39.04
868,39.86
869,39.87
870,43.65
871,40.48
872,44.86
873,51.47
874,57.02
875,59.66
876,56.24
877,54.2
878,52.6
879,52.97
880,52.71
881,69.23
882,74.34
883,65.51
884,63.46
885,55.05
886,52.64
887,52.12
888,46.91
889,42.01
890,40.06
891,40.02
892,37.82
893,47.7
894,66.07
895,68.57
896,71.01
897,73.55
898,89.25
899,93.76
900,84.8
901,71.34
902,69.66
903,71.55
904,98.66
905,127.62
906,105.74
907,76.84
908,71.36
909,61.98
910,56.97
911,53.42
912,45.44
913,40.96
914,39.91
915,39.49
916,40.03
917,45.9
918,63.23
919,66.7
920,67.3
921,68.43
922,72.64
923,72.4
924,71.93
925,71.26
926,65.39
927,65.69
928,75.41
929,110.25
930,100.4
931,84.93
932,72.6
933,65.34
934,59.95
935,56.2
936,55.26
937,49.15
938,45.49
939,46.04
940,48.09
941,56.02
942,78.36
943,88.36
944,84.19
945,88.53
946,92.34
947,87.36
948,85.77
949,85.09
950,85.13
951,84.56
952,89.69
953,113.86
954,112.47
955,98.59
956,92.77
957,78.0
958,70.14
959,67.5
960,59.85
961,50.04
962,47.79
963,48.3
964,49.68
965,59.05
966,86.18
967,99.42
968,103.13
969,106.27
970,112.54
971,112.23
972,109.62
973,109.19
974,106.14
975,107.39
976,111.29
977,123.43
978,125.55
979,113.46
980,109.0
981,88.93
982,75.1
983,69.39
984,57.35
985,51.3
986,47.87
987,47.37
988,48.81
989,56.85
990,84.32
991,93.65
992,93.39
993,126.0
994,92.62
995,94.67
996,81.67
997,76.43
998,74.2
999,71.62
1000,86.87
1001,112.0
1002,97.86
1003,85.99
1004,82.12
1005,67.0
1006,63.53
1007,58.87
1008,49.2
1009,44.05
1010,42.7
1011,42.21
1012,41.02
1013,42.35
1014,46.0
1015,44.65
1016,48.04
1017,54.38
1018,61.74
1019,63.29
1020,60.04
1021,54.91
1022,52.86
1023,52.76
1024,54.9
1025,73.56
1026,76.18
1027,69.93
1028,63.14
1029,58.78
1030,44.45
1031,45.5
1032,46.28
1033,40.35
1034,38.61
1035,38.83
1036,38.5
1037,40.25
1038,42.09
1039,40.89
1040,41.4
1041,49.78
1042,50.27
1043,47.18
1044,44.39
1045,41.5
1046,40.15
1047,42.29
1048,46.19
1049,62.26
1050,67.86
1051,55.34
1052,53.26
1053,52.84
1054,44.63
1055,40.38
1056,37.58
1057,34.08
1058,33.77
1059,34.54
1060,34.47
1061,37.49
1062,46.98
1063,59.83
1064,56.54
1065,57.41
1066,64.39
1067,55.33
1068,53.43
1069,51.19
1070,50.92
1071,49.96
1072,55.59
1073,69.32
1074,73.69
1075,67.17
1076,59.15
1077,53.56
1078,42.22
1079,41.24
1080,40.36
1081,37.65
1082,36.21
1083,37.19
1084,38.05
1085,39.89
1086,51.44
1087,56.36
1088,57.75
1089,67.54
1090,68.89
1091,66.0
1092,66.0
1093,66.0
1094,63.47
1095,63.46
1096,59.91
1097,94.19
1098,92.79
1099,70.17
1100,60.55
1101,52.84
1102,46.5
1103,44.43
1104,40.21
1105,38.47
1106,37.13
1107,36.58
1108,36.08
1109,40.17
1110,56.99
1111,60.86
1112,55.63
1113,57.05
1114,57.47
1115,54.84
1116,53.53
1117,50.07
1118,50.69
1119,54.45
1120,54.6
1121,66.89
1122,71.82
1123,64.37
1124,58.62
1125,45.1
1126,42.34
1127,38.91
1128,33.8
1129,31.1
1130,29.38
1131,29.39
1132,29.56
1133,32.93
1134,44.65
1135,45.92
1136,46.68
1137,48.45
1138,51.44
1139,50.45
1140,43.74
1141,42.95
1142,44.62
1143,44.97
1144,48.11
1145,58.05
1146,65.82
1147,56.99
1148,46.23
1149,39.49
1150,38.13
1151,35.77
1152,33.09
1153,30.35
1154,28.55
1155,28.39
1156,28.94
1157,32.05
1158,39.41
1159,45.18
1160,46.99
1161,48.01
1162,50.82
1163,48.49
1164,46.39
1165,45.97
1166,45.78
1167,45.77
1168,46.23
1169,57.84
1170,65.44
1171,50.0
1172,48.68
1173,41.39
1174,37.49
1175,33.37
1176,36.73
1177,33.85
1178,33.05
1179,32.68
1180,32.45
1181,33.16
1182,35.23
1183,35.96
1184,40.79
1185,42.93
1186,44.98
1187,42.49
1188,42.37
1189,40.72
1190,40.19
1191,40.19
1192,41.68
1193,56.32
1194,61.07
1195,54.86
1196,48.97
1197,45.41
1198,40.83
1199,38.98
1200,50.51
1201,38.67
1202,36.93
1203,37.2
1204,37.31
1205,38.32
1206,38.38
1207,38.05
1208,43.6
1209,49.33
1210,46.15
1211,46.69
1212,45.95
1213,44.82
1214,44.49
1215,44.33
1216,47.08
1217,61.82
1218,67.41
1219,61.01
1220,56.64
1221,50.79
1222,44.43
1223,41.49
1224,38.36
1225,36.21
1226,35.39
1227,35.44
1228,36.21
1229,39.37
1230,45.97
1231,52.09
1232,52.49
1233,53.25
1234,54.6
1235,52.29
1236,50.05
1237,48.05
1238,43.69
1239,47.23
1240,48.07
1241,66.35
1242,73.86
1243,65.65
1244,58.31
1245,51.98
1246,50.18
1247,42.58
1248,40.02
1249,38.67
1250,38.0
1251,38.34
1252,38.39
1253,43.04
1254,59.94
1255,65.0
1256,66.51
1257,65.87
1258,66.0
1259,66.0
1260,64.44
1261,63.1
1262,60.26
1263,58.48
1264,61.36
1265,77.05
1266,86.3
1267,76.96
1268,72.51
1269,59.57
1270,53.31
1271,50.43
1272,49.14
1273,45.06
1274,43.6
1275,43.36
1276,42.78
1277,50.69
1278,70.05
1279,77.0
1280,74.64
1281,73.8
1282,71.74
1283,69.77
1284,61.77
1285,60.88
1286,57.85
1287,57.68
1288,64.2
1289,69.46
1290,81.21
1291,71.57
1292,70.51
1293,59.26
1294,50.57
1295,49.16
1296,77.0
1297,61.23
1298,54.92
1299,57.58
1300,53.89
1301,67.83
1302,110.0
1303,100.98
1304,93.31
1305,97.22
1306,82.85
1307,80.88
1308,73.89
1309,72.78
1310,71.18
1311,70.28
1312,73.95
1313,87.33
1314,107.23
1315,91.88
1316,86.86
1317,69.89
1318,61.68
1319,77.0
1320,54.4
1321,45.42
1322,44.99
1323,44.91
1324,44.69
1325,51.51
1326,72.58
1327,78.77
1328,82.28
1329,84.25
1330,83.18
1331,81.66
1332,80.81
1333,79.91
1334,79.24
1335,78.5
1336,81.47
1337,90.5
1338,90.17
1339,84.01
1340,77.05
1341,59.33
1342,57.82
1343,57.08
1344,48.0
1345,43.66
1346,40.41
1347,40.18
1348,40.44
1349,42.98
1350,43.74
1351,44.23
1352,49.42
1353,53.6
1354,62.93
1355,62.86
1356,54.01
1357,46.42
1358,45.34
1359,45.26
1360,48.51
1361,64.27
1362,75.01
1363,64.13
1364,60.71
1365,50.37
1366,44.44
1367,42.76
1368,45.78
1369,42.02
1370,38.26
1371,41.14
1372,41.0
1373,41.36
1374,42.15
1375,43.19
1376,50.47
1377,55.88
1378,54.55
1379,50.92
1380,46.32
1381,44.25
1382,42.14
1383,40.77
1384,46.63
1385,60.26
1386,68.83
1387,63.95
1388,59.4
1389,50.0
1390,47.33
1391,43.41
1392,38.18
1393,35.79
1394,35.51
1395,35.5
1396,35.95
1397,37.22
1398,55.2
1399,57.25
1400,61.86
1401,61.6
1402,61.09
1403,60.49
1404,59.38
1405,58.82
1406,58.15
1407,57.62
1408,60.62
1409,64.4
1410,72.71
1411,65.94
1412,61.69
1413,55.42
1414,44.95
1415,38.92
1416,38.34
1417,35.56
1418,34.42
1419,35.53
1420,35.44
1421,39.44
1422,53.59
1423,56.41
1424,58.22
1425,58.52
1426,56.35
1427,55.84
1428,53.92
1429,53.65
1430,51.88
1431,51.77
1432,54.51
1433,61.35
1434,68.97
1435,61.49
1436,59.76
1437,47.52
1438,45.81
1439,42.37
1440,38.57
1441,37.41
1442,35.95
1443,34.33
1444,36.28
1445,39.62
1446,56.7
1447,58.43
1448,57.73
1449,56.78
1450,55.64
1451,55.25
1452,53.18
1453,50.01
1454,49.07
1455,48.76
1456,50.78
1457,61.39
1458,69.08
1459,62.93
1460,60.11
1461,50.32
1462,45.05
1463,46.64
1464,54.14
1465,48.94
1466,46.44
1467,46.29
1468,45.8
1469,52.82
1470,73.82
1471,82.0
1472,83.77
1473,77.59
1474,74.74
1475,71.78
1476,66.77
1477,67.4
1478,64.93
1479,65.96
1480,70.33
1481,81.3
1482,97.58
1483,79.3
1484,74.2
1485,69.67
1486,62.14
1487,58.72
1488,53.71
1489,46.84
1490,43.09
1491,43.78
1492,44.49
1493,52.63
1494,75.79
1495,86.88
1496,83.88
1497,84.23
1498,82.83
1499,72.64
1500,66.75
1501,65.06
1502,63.77
1503,62.78
1504,63.98
1505,79.29
1506,90.66
1507,74.07
1508,71.29
1509,59.06
1510,56.17
1511,53.68
1512,39.74
1513,35.19
1514,33.96
1515,33.48
1516,33.99
1517,36.63
1518,38.23
1519,41.59
1520,41.13
1521,45.35
1522,45.8
1523,44.65
1524,39.48
1525,39.3
1526,38.63
1527,38.41
1528,38.46
1529,50.8
1530,62.41
1531,55.09
1532,50.33
1533,44.36
1534,38.99
1535,36.59
1536,34.67
1537,30.54
1538,29.48
1539,29.33
1540,30.23
1541,30.63
1542,30.69
1543,32.01
1544,37.38
1545,39.01
1546,39.15
1547,39.37
1548,39.14
1549,38.77
1550,39.0
1551,38.61
1552,39.4
1553,44.56
1554,59.84
1555,49.52
1556,47.35
1557,43.01
1558,38.48
1559,37.15
1560,32.87
1561,30.58
1562,32.37
1563,33.32
1564,32.74
1565,35.71
1566,43.85
1567,50.15
1568,50.01
1569,50.66
1570,52.28
1571,49.27
1572,50.02
1573,49.1
1574,49.15
1575,48.4
1576,50.4
1577,56.62
1578,67.96
1579,59.76
1580,57.0
1581,47.87
1582,43.24
1583,39.87
1584,40.63
1585,38.71
1586,38.53
1587,38.14
1588,37.28
1589,39.16
1590,57.96
1591,64.25
1592,56.08
1593,55.87
1594,55.95
1595,53.65
1596,50.79
1597,49.48
1598,48.69
1599,48.52
1600,51.19
1601,59.14
1602,71.96
1603,63.52
1604,58.12
1605,48.68
1606,43.03
1607,40.49
1608,41.14
1609,38.5
1610,37.2
1611,37.34
1612,37.2
1613,42.43
1614,60.04
1615,64.54
1616,63.65
1617,59.11
1618,58.9
1619,58.72
1620,55.32
1621,54.87
1622,52.86
1623,52.56
1624,54.45
1625,61.75
1626,78.0
1627,66.15
1628,60.53
1629,52.02
1630,45.88
1631,39.58
1632,36.17
1633,34.91
1634,33.36
1635,33.22
1636,33.84
1637,38.47
1638,53.79
1639,60.63
1640,61.63
1641,63.9
1642,68.58
1643,68.76
1644,63.57
1645,62.2
1646,61.55
1647,60.7
1648,60.74
1649,61.33
1650,77.24
1651,63.07
1652,53.98
1653,47.11
1654,43.46
1655,37.54
1656,37.83
1657,36.4
1658,35.32
1659,35.19
1660,35.67
1661,38.78
1662,46.67
1663,51.23
1664,53.14
1665,58.18
1666,63.22
1667,57.36
1668,60.31
1669,53.08
1670,50.41
1671,51.0
1672,51.27
1673,56.94
1674,66.63
1675,59.6
1676,53.2
1677,49.08
1678,45.78
1679,41.45
1680,42.19
1681,39.73
1682,37.3
1683,36.85
1684,37.04
1685,39.61
1686,40.99
1687,41.1
1688,48.88
1689,53.49
1690,54.52
1691,52.75
1692,47.98
1693,47.01
1694,46.77
1695,46.64
1696,46.67
1697,54.77
1698,65.17
1699,59.9
1700,51.71
1701,48.1
1702,46.19
1703,40.0
1704,44.23
1705,40.51
1706,39.0
1707,38.84
1708,36.16
1709,37.61
1710,41.08
1711,41.93
1712,42.7
1713,44.38
1714,44.88
1715,47.15
1716,47.05
1717,46.77
1718,46.46
1719,46.46
1720,45.16
1721,50.38
1722,62.83
1723,66.01
1724,58.9
1725,52.73
1726,49.82
1727,42.95
1728,40.38
1729,39.15
1730,36.51
1731,36.83
1732,37.43
1733,40.28
1734,49.83
1735,60.63
1736,61.17
1737,58.93
1738,60.0
1739,60.0
1740,56.7
1741,53.84
1742,52.27
1743,51.42
1744,51.41
1745,56.45
1746,64.97
1747,67.16
1748,61.03
1749,55.07
1750,50.43
1751,42.75
1752,42.62
1753,40.85
1754,40.37
1755,37.58
1756,38.06
1757,42.82
1758,54.73
1759,67.95
1760,61.1
1761,69.17
1762,58.79
1763,60.0
1764,56.3
1765,55.63
1766,53.99
1767,52.08
1768,53.9
1769,58.78
1770,59.14
1771,66.94
1772,60.27
1773,51.22
1774,47.2
1775,40.51
1776,39.49
1777,36.9
1778,35.37
1779,35.5
1780,35.29
1781,40.97
1782,48.98
1783,65.1
1784,63.05
1785,59.59
1786,60.33
1787,58.36
1788,55.09
1789,55.09
1790,56.97
1791,59.19
1792,59.39
1793,59.59
1794,59.7
1795,68.0
1796,59.76
1797,47.92
1798,40.79
1799,41.13
1800,34.9
1801,32.15
1802,31.16
1803,30.7
1804,28.99
1805,34.72
1806,41.82
1807,53.73
1808,49.75
1809,51.95
1810,50.17
1811,49.32
1812,48.74
1813,48.3
1814,47.5
1815,47.75
1816,48.87
1817,53.02
1818,54.3
1819,63.15
1820,51.86
1821,45.29
1822,40.85
1823,35.39
1824,32.95
1825,30.93
1826,30.26
1827,29.0
1828,29.04
1829,29.1
1830,38.61
1831,49.68
1832,48.71
1833,48.59
1834,48.14
1835,46.91
1836,47.63
1837,47.59
1838,47.54
1839,48.21
1840,46.25
1841,47.65
1842,48.35
1843,56.35
1844,47.16
1845,42.88
1846,39.96
1847,39.8
1848,36.06
1849,34.62
1850,32.7
1851,31.75
1852,32.09
1853,33.64
1854,34.96
1855,35.97
1856,46.79
1857,47.54
1858,47.77
1859,47.45
1860,42.8
1861,41.67
1862,41.24
1863,41.28
1864,41.0
1865,41.52
1866,44.66
1867,60.19
1868,50.75
1869,43.05
1870,41.16
1871,40.22
1872,36.02
1873,32.65
1874,30.81
1875,31.34
1876,30.74
1877,31.7
1878,32.59
1879,34.91
1880,40.48
1881,41.71
1882,42.46
1883,41.56
1884,41.25
1885,39.5
1886,37.73
1887,37.68
1888,38.56
1889,41.16
1890,43.23
1891,62.67
1892,55.2
1893,45.7
1894,39.1
1895,36.6
1896,36.77
1897,34.43
1898,32.22
1899,32.23
1900,32.82
1901,35.84
1902,44.89
1903,58.05
1904,52.9
1905,54.06
1906,55.06
1907,55.3
1908,53.84
1909,51.36
1910,50.01
1911,49.55
1912,49.71
1913,51.66
1914,56.18
1915,63.51
1916,54.99
1917,47.01
1918,40.26
1919,37.29
1920,37.61
1921,34.93
1922,33.44
1923,33.49
1924,34.21
1925,37.3
1926,50.0
1927,60.0
1928,56.69
1929,56.11
1930,66.14
1931,55.99
1932,55.47
1933,55.28
1934,56.68
1935,54.13
1936,54.37
1937,57.7
1938,58.4
1939,68.56
1940,58.58
1941,52.67
1942,44.94
1943,40.77
1944,39.85
1945,37.19
1946,34.23
1947,33.71
1948,34.25
1949,37.37
1950,50.87
1951,58.56
1952,68.93
1953,69.59
1954,70.27
1955,79.1
1956,65.26
1957,65.25
1958,65.69
1959,65.95
1960,65.0
1961,65.32
1962,69.85
1963,88.0
1964,65.0
1965,54.74
1966,43.92
1967,41.02
1968,40.27
1969,37.29
1970,34.61
1971,33.75
1972,34.09
1973,39.59
1974,53.84
1975,63.08
1976,60.42
1977,61.7
1978,62.83
1979,60.0
1980,59.41
1981,56.63
1982,53.56
1983,51.74
1984,55.47
1985,58.0
1986,60.0
1987,70.03
1988,61.71
1989,53.9
1990,47.86
1991,45.21
1992,40.45
1993,38.69
1994,38.06
1995,37.79
1996,38.44
1997,42.07
1998,53.32
1999,62.45
2000,62.0
2001,63.76
2002,64.05
2003,61.67
2004,57.89
2005,54.82
2006,54.16
2007,53.42
2008,53.86
2009,54.58
2010,61.56
2011,64.64
2012,61.21
2013,55.3
2014,51.46
2015,49.48
2016,55.94
2017,46.31
2018,43.58
2019,42.4
2020,43.33
2021,42.64
2022,48.78
2023,51.08
2024,64.43
2025,65.32
2026,63.79
2027,63.65
2028,59.01
2029,54.78
2030,52.43
2031,51.67
2032,51.58
2033,55.46
2034,60.02
2035,70.75
2036,65.07
2037,58.75
2038,54.55
2039,52.62
2040,50.23
2041,40.04
2042,40.44
2043,39.46
2044,40.18
2045,40.21
2046,41.0
2047,39.88
2048,55.36
2049,55.64
2050,53.85
2051,53.88
2052,51.12
2053,49.83
2054,47.05
2055,45.77
2056,46.04
2057,52.73
2058,57.72
2059,69.19
2060,65.0
2061,57.71
2062,52.38
2063,49.64
2064,41.88
2065,38.87
2066,38.16
2067,39.04
2068,39.87
2069,44.11
2070,62.71
2071,68.69
2072,70.34
2073,68.79
2074,66.98
2075,66.46
2076,58.19
2077,56.99
2078,53.7
2079,52.36
2080,52.26
2081,53.68
2082,60.59
2083,70.13
2084,65.99
2085,57.05
2086,51.51
2087,41.95
2088,42.18
2089,40.07
2090,38.63
2091,38.66
2092,40.87
2093,43.44
2094,60.7
2095,76.77
2096,70.1
2097,67.55
2098,66.28
2099,62.25
2100,60.79
2101,60.23
2102,55.62
2103,54.38
2104,54.8
2105,55.91
2106,57.69
2107,74.62
2108,66.41
2109,49.99
2110,44.24
2111,41.96
2112,40.21
2113,37.63
2114,35.25
2115,35.6
2116,37.03
2117,39.69
2118,51.2
2119,64.08
2120,62.6
2121,62.11
2122,60.6
2123,59.7
2124,59.19
2125,58.77
2126,58.43
2127,57.78
2128,57.99
2129,58.56
2130,59.6
2131,64.19
2132,63.22
2133,52.2
2134,47.2
2135,41.06
2136,38.19
2137,35.41
2138,34.54
2139,34.41
2140,35.84
2141,38.7
